sscha_index,atom_index,local_knn_score,local_knn_percentile,nearest_corrected_config,nearest_corrected_atom,force_error_norm_meV_A,force_error_x_meV_A,force_error_y_meV_A,force_error_z_meV_A,nearest_distance_A,second_distance_A,third_distance_A
87,0,1.7404436563815344,29.106481481481485,119,47,14.391266841371573,1.5954529567337172,13.977668146667455,3.0311523129081737,1.3339262991076744,1.3676056508713499,1.4257492259192899
87,1,2.629138309820156,88.44907407407408,207,59,23.054818933802498,-2.4787142615509126,-3.499374556427015,-22.652483956375146,1.4110429873589032,1.4189209202942137,1.477549198024956
87,2,1.5387206768416426,10.842592592592592,96,62,29.623700374772135,-0.9307205171012883,25.672187235794063,-14.752497610359192,1.3761539358405541,1.4407934995457314,1.4493368938337616
87,3,1.9368909247362958,48.638888888888886,236,64,19.64254774360536,-8.878946797637926,-9.602932709102632,14.6552949137497,1.4094291914800903,1.4119615439412072,1.471197783504387
87,4,2.240214964876624,72.28240740740742,196,70,29.62749218812865,24.94205212348938,-4.215349338912961,-15.42443383653641,1.3738097124560567,1.4557074927983815,1.4622780672995155
87,5,1.4822126117788854,7.111111111111111,86,61,39.059137054844534,-9.21235603759768,36.95463774171829,8.666223692245485,1.3712875950607852,1.457947802531317,1.4670615910998215
87,6,1.7727624397924582,32.5462962962963,203,41,45.849042862389254,-20.052642700691223,-19.528300462799074,36.313519977416995,1.4608151004685,1.4626965000014402,1.4738740678976952
87,7,1.932721032551223,48.2962962962963,54,9,23.960393315724307,-23.26430857040404,4.663998321723928,-3.3345935644674314,1.3775834015847999,1.3845442131715606,1.506900677466636
87,8,2.0058742693986398,54.86574074074074,13,0,16.556485705972037,9.860149200668356,-11.765730010099409,6.201796030349732,1.3893984479940906,1.4212420212357686,1.4534420954300336
87,9,1.4633649811656193,6.064814814814815,291,37,53.76166785185758,6.198616601943969,53.306197505798345,-3.216114100646983,1.4011935797530486,1.4235564781130146,1.4649057848561882
87,10,2.8950651520725437,93.92129629629629,269,7,65.37618958533542,-59.7612233161926,12.670298674316404,23.283167395212647,1.3124207731305897,1.3622249107774889,1.4846562309528195
87,11,2.4945393353367455,84.3425925925926,77,29,79.33960425085445,40.85465553834915,-2.2800503866958617,-67.97404867858886,1.3865241578003549,1.4155227999913744,1.4553593526262998
87,12,2.353372051000069,78.47685185185185,147,57,59.36007089067362,13.244035262565623,54.989890008544926,18.00904058959962,1.3657089917376073,1.3996420402550005,1.5380460693438465
87,13,1.7658517527946824,31.796296296296294,63,40,35.36821414327508,14.400802039680485,-31.207873602371205,-8.342427555389387,1.430861054826249,1.4461009675450496,1.462357812081196
87,14,1.9254091553662214,47.64814814814815,74,58,14.029871489996093,-0.5433310681152159,-0.9624682762146008,13.986269702587123,1.3430583377270968,1.4527701995036983,1.4603777555527169
87,15,1.6530614179333263,20.675925925925924,120,57,41.084994435928465,-0.7257116020202639,41.03196834578037,1.956446815490731,1.3918675649653125,1.434333310799874,1.467745393793857
87,16,1.8865991888209621,43.916666666666664,118,21,43.92449170541713,-25.980336974525454,34.43225790863036,-8.29473794540405,1.3693699110016269,1.4543285937440267,1.511589303080954
87,17,2.186270337819066,68.94444444444444,34,66,77.71199143221342,29.76959208602905,68.27607242561339,22.165354351425194,1.4322073830760726,1.4611812058094016,1.492496337688496
87,18,2.1097327698712953,63.65277777777778,53,39,84.3823102399251,68.00583507278442,47.70399981674189,14.82933170997619,1.3742515299411462,1.4435241264441347,1.4506459026972989
87,19,2.2268830387646354,71.53703703703704,116,57,74.38312469200037,62.9643276363373,-29.349952264781002,26.58802336212157,1.4151356874045458,1.4622154539846681,1.501620507918092
87,20,1.350478565008932,1.6851851851851851,33,46,46.813489326951974,-40.04901748634338,-13.217510503883368,20.319360162734974,1.3980298678995853,1.4348392874094296,1.4470983083497728
87,21,1.3014235544961434,0.6990740740740741,98,10,28.295558982626925,-12.133607579803467,-25.560912100601186,-0.23237431870818098,1.406470147800349,1.4513493970900073,1.480038198412267
87,22,2.4694469122118616,83.46759259259258,256,30,161.17036487458802,14.458767033996567,-160.08068190368664,11.874588452453594,1.304118562534494,1.351405525092858,1.4325845952428513
87,23,2.2449481666069415,72.63425925925927,256,47,84.25450965356104,-80.19335609710699,18.88904325042723,17.636668617630004,1.3966764378722314,1.4943554870222482,1.538821244205001
87,24,1.6567206542991422,21.01851851851852,8,5,25.76138402044982,-17.909014300627707,-7.398644067611704,-16.975752689933774,1.3511986435958705,1.4450824295020779,1.4546553701221627
87,25,2.4762631488233593,83.70833333333333,174,6,24.37199809305673,-3.8872278369140867,9.486466257858261,-22.11087308837889,1.3800260859345534,1.4323922582098096,1.5257754507360446
87,26,1.7405335438372116,29.11574074074074,168,49,28.86423594696229,28.859426570434582,0.3924069100570693,-0.35161291862487176,1.4191169193758841,1.4246237166926345,1.4313492214582324
87,27,2.0145853597393284,55.54629629629629,232,58,40.8903288352205,33.798156278991684,9.305570872430808,21.050177555818557,1.4147547213509504,1.4156506977505219,1.47643642237516
87,28,2.731142419232831,90.79629629629629,171,65,40.514784495943736,34.046715999298094,-18.69354621387481,-11.524765610008242,1.351370440619685,1.427857474851477,1.4374450544790984
87,29,2.5185024971214287,85.13425925925927,114,26,54.17703863762859,-22.51219400695803,-48.43019585891722,-9.103228306655886,1.3387085669800558,1.3905887970053608,1.4033558024208292
87,30,2.0910233874789395,62.217592592592595,20,34,41.05107692321602,41.04961660934448,-0.31400874255180233,-0.14591535638809605,1.3840306447836694,1.3887446216603396,1.4643338105796446
87,31,1.3458907219275313,1.5787037037037037,82,20,15.776533907807831,-0.41286917839050696,-6.437143399944306,14.397629875583648,1.3704026547479773,1.4261998788561028,1.4611229673749808
87,32,1.9322205402081523,48.25925925925926,26,29,32.675439587681964,14.963612924766542,-8.233089098510755,27.856612938079838,1.3834886069848509,1.4029705444617766,1.403887979546066
87,33,2.5746815227744575,87.03703703703704,81,46,59.05755063960627,30.466071248111724,-41.68319072845461,28.672711782283784,1.411302100465413,1.4444121611652234,1.5182578937935352
87,34,1.6804352107065121,23.14351851851852,271,1,18.065070549425066,13.721300153570176,7.3637411647605875,-9.156856016654968,1.3794986411913712,1.395341019768232,1.4204610811438707
87,35,2.597068818706549,87.6574074074074,66,32,59.3956725671249,14.763277062530527,-56.03792708587646,-13.024680341339135,1.4561092613033069,1.474783178548835,1.5126237297240805
