smearing_degauss_Ry,lattice_temperature_K,lattice_condition,direction,distance,signed_distance,q1,q2,short_range_background_cm-1,full_EPC_response_Ry2,long_range_correction_cm-2,MLIP_plus_full_EPC_cm-1
0.00285013035,,fixed_static_lattice_reference,KG,0.002,-0.002,0.33266666666666667,0.33266666666666667,1380.0706347705172,-6.4098025223092565e-06,-247216.4011166211,1287.3921530906102
0.00285013035,,fixed_static_lattice_reference,KG,0.003,-0.003,0.3323333333333333,0.3323333333333333,1380.0707390334194,-6.385171916684858e-06,-246919.79250522613,1287.5074571555003
0.00285013035,,fixed_static_lattice_reference,KG,0.004,-0.004,0.332,0.332,1380.070886509147,-6.3526962620775285e-06,-246528.7116295013,1287.6594814471105
0.00285013035,,fixed_static_lattice_reference,KG,0.005,-0.005,0.33166666666666667,0.33166666666666667,1380.07107811484,-6.31530028446791e-06,-246078.3788541043,1287.8345397584865
0.00285013035,,fixed_static_lattice_reference,KG,0.006,-0.006,0.3313333333333333,0.3313333333333333,1380.071314799563,-6.270889140142564e-06,-245543.56748772226,1288.0424163997366
0.00285013035,,fixed_static_lattice_reference,KG,0.007,-0.007,0.331,0.331,1380.071597544267,-6.217275115948771e-06,-244897.9324793949,1288.2933213631864
0.00285013035,,fixed_static_lattice_reference,KG,0.008,-0.008,0.33066666666666666,0.33066666666666666,1380.0719273617449,-6.156804073223341e-06,-244169.7233445522,1288.576269123178
0.00285013035,,fixed_static_lattice_reference,KG,0.009000000000000001,-0.009000000000000001,0.3303333333333333,0.3303333333333333,1380.0723052965848,-6.094018203178168e-06,-243413.6384145546,1288.870020379121
0.00285013035,,fixed_static_lattice_reference,KG,0.01,-0.01,0.33,0.33,1380.072732425116,-6.025521309184383e-06,-242588.77974391606,1289.190430867143
0.00285013035,,fixed_static_lattice_reference,KG,0.011,-0.011,0.32966666666666666,0.32966666666666666,1380.0732098553492,-5.949134505067841e-06,-241668.90857861014,1289.5476555683533
0.00285013035,,fixed_static_lattice_reference,KG,0.012,-0.012,0.3293333333333333,0.3293333333333333,1380.0737387269146,-5.867945131868256e-06,-240691.20353911648,1289.927254066898
0.00285013035,,fixed_static_lattice_reference,KG,0.013000000000000001,-0.013000000000000001,0.329,0.329,1380.0743202109907,-5.786472231868846e-06,-239710.08419095044,1290.3081202235678
0.00285013035,,fixed_static_lattice_reference,KG,0.014,-0.014,0.32866666666666666,0.32866666666666666,1380.0749555102302,-5.701046055959435e-06,-238681.35839347466,1290.7073736649563
0.00285013035,,fixed_static_lattice_reference,KG,0.015,-0.015,0.3283333333333333,0.3283333333333333,1380.075645858681,-5.610037605674365e-06,-237585.40929356613,1291.1325954365373
0.00285013035,,fixed_static_lattice_reference,KG,0.016,-0.016,0.328,0.328,1380.0763925217,-5.516407634165581e-06,-236457.89110511122,1291.56995865133
0.00285013035,,fixed_static_lattice_reference,KG,0.017,-0.017,0.32766666666666666,0.32766666666666666,1380.0771967958651,-5.423612607249056e-06,-235340.42755192914,1292.0033442541871
0.00285013035,,fixed_static_lattice_reference,KG,0.018000000000000002,-0.018000000000000002,0.3273333333333333,0.3273333333333333,1380.0780600088783,-5.328750720962332e-06,-234198.0743026879,1292.4462764135233
0.00285013035,,fixed_static_lattice_reference,KG,0.019,-0.019,0.327,0.327,1380.0789835194637,-5.231233416871033e-06,-233023.74377283495,1292.9014877318693
