structure_index,trajectory_seed,snapshot_index,force_RMSE_meV_A,force_MAE_meV_A,force_max_abs_meV_A,max_error_atom_index,max_error_component,max_displacement_vector_A,RMS_displacement_A,Aprime_coordinate_abs_A,Aprime_force_error_abs_meV_A,predicted_energy_eV,target_energy_eV,centered_energy_error_meV_config
112,453005,112,0.010629044666307184,0.007116932648984848,0.035169750093100305,25,y,0.4278513104203512,0.11807239071114038,0.011694991634963136,0.004521621487274887,-90.42908357915303,-90.42907327479472,-0.012851181892064764
113,453005,113,0.011865745049206892,0.008197411691581433,0.044577008270429985,30,y,0.4278513103811382,0.11807239069348775,0.01169499033466629,0.014935994978845917,-90.45640324848014,-90.45638763228796,-0.0181630157661535
114,453005,114,0.011474401935079233,0.007719028116450803,0.044671387759986914,30,y,0.3197860402608394,0.07917952316074225,0.04394633055773534,0.009770281435065266,-89.17260803026286,-89.17259219010171,-0.01838698473396979
115,453005,115,0.012331010773399827,0.008156581526968135,0.04198522799592208,66,y,0.3197860407483046,0.07917952320917528,0.043946331036775116,0.009121852720552248,-89.38549698581997,-89.38549428335024,-0.005249293308556465
116,453005,116,0.01204305258524723,0.008031973061472611,0.05072655177951191,6,x,0.3646571414564849,0.08316771965108048,0.019802852885911663,0.014302092676175247,-89.99893141445685,-89.99893775512004,0.0037938396112717028
117,453005,117,0.012421287240409504,0.007944713245021011,0.05902936271540149,3,y,0.36465714040012864,0.08316771959128257,0.019802852107385773,0.010900532124339621,-90.04707146348447,-90.04710180070853,0.027790400481203882
118,453005,118,0.0113535611903765,0.007530675782386484,0.04423144838826276,23,x,0.2340910308628919,0.0688064403757919,0.03706502231981296,0.022252973118972372,-89.85209648793496,-89.85208193018126,-0.01710457728085165
119,453005,119,0.010161595068211238,0.006865477888845306,0.037063942820714235,52,x,0.23409102905781345,0.06880644031414647,0.037065020839527965,0.009547020051183224,-89.74188225481777,-89.74189360215047,0.008800509122247982
120,453005,120,0.010530985063400593,0.007131604471708622,0.043748747440952584,34,y,0.297488896543096,0.084258099273656,0.03802208789360577,0.004473193753389358,-89.18655702815516,-89.18656264567012,0.003070691378421013
121,453005,121,0.011695860069359717,0.007588076654256943,0.04345775836522847,61,y,0.2974888959368969,0.08425809914766186,0.03802208720780709,0.005841731249138412,-89.41036507738325,-89.4103914041995,0.023779992674472318
122,453005,122,0.009699451110430139,0.006472614147501342,0.03859140975226438,66,y,0.32100358452445854,0.07678013373221639,0.05699124401373221,0.0101628412401031,-89.59105319150056,-89.59106454718021,0.008808856066716922
123,453005,123,0.01117686715852726,0.007417068328068811,0.04955546416463008,40,x,0.32100358473942864,0.07678013366146565,0.056991241025069576,0.012160305989220577,-89.756289426306,-89.75626409993663,-0.0278731929475858
124,453005,124,0.012079906761012447,0.007798159854567423,0.044893802240320024,24,y,0.26432252740185125,0.07154113983392447,0.035638865796999944,0.009520181895210734,-90.25361989796392,-90.25362152631091,-0.0009184765864252615
125,453005,125,0.012614310584231936,0.008548204039336824,0.044372245684765055,0,y,0.26432252814392276,0.07154113974606024,0.03563886421036895,0.012585084079324571,-90.23038695876991,-90.23039920385804,0.009698264549579486
126,453005,126,0.011600886458100338,0.00756389779679706,0.043479725503670075,35,y,0.30854346173978187,0.08927700380969354,0.012300922253979288,0.0053022652716551355,-90.72266889022443,-90.72265900627023,-0.012430777771659981
127,453005,127,0.01071542428670203,0.00723473760294644,0.044230131074129986,69,y,0.3085434620961463,0.08927700385499834,0.012300923266471678,0.006429044559789219,-90.53045058628777,-90.53044222029747,-0.010912813876634194
