direction,distance,signed_distance,q1,q2,short_range_MLIP_cm-1,full_EPC_response_Ry2,long_range_correction_cm-2,MLIP_plus_full_EPC_cm-1
KM,0.01,0.01,0.33666666666666667,0.32666666666666666,1380.0724640534493,-6.177246033507077e-06,-244415.8911224141,1288.481321135912
KM,0.011,0.011,0.33699999999999997,0.326,1380.072852659341,-6.050045527337658e-06,-242884.1072077598,1289.0760146087316
KM,0.012,0.012,0.3373333333333333,0.3253333333333333,1380.0732749988506,-5.9242780798209485e-06,-241369.58058444102,1289.6637793555387
KM,0.013000000000000001,0.013000000000000001,0.3376666666666666,0.32466666666666666,1380.07373063469,-5.800040024756877e-06,-239873.47133090073,1290.2441748200417
KM,0.014,0.014,0.338,0.324,1380.0742191613926,-5.677155717071966e-06,-238393.66428025533,1290.8180298220475
KM,0.015,0.015,0.3383333333333333,0.3233333333333333,1380.0747402052639,-5.555804572842146e-06,-236932.3200108501,1291.3845161460533
KM,0.016,0.016,0.33866666666666667,0.32266666666666666,1380.075293424327,-5.435780663419068e-06,-235486.95867256017,1291.9446028555876
KM,0.017,0.017,0.33899999999999997,0.322,1380.0758785082626,-5.3173152543081425e-06,-234060.36522899824,1292.4972205816748
KM,0.018000000000000002,0.018000000000000002,0.3393333333333333,0.3213333333333333,1380.076495178344,-5.200149396015676e-06,-232649.42133825604,1293.0435844183621
KM,0.019,0.019,0.3396666666666666,0.32066666666666666,1380.0771431873666,-5.0847125345154345e-06,-231259.29850833013,1293.5817031173071
KM,0.02,0.02,0.34,0.32,1380.077822319574,-4.970258855439167e-06,-229881.01543492381,1294.1150567949564
KM,0.021,0.021,0.3403333333333333,0.3193333333333333,1380.0785323905777,-4.857573995590817e-06,-228524.03297519305,1294.6399972927368
KM,0.022,0.022,0.3406666666666667,0.31866666666666665,1380.0792732472742,-4.746095133899988e-06,-227181.57348108903,1295.1591512110144
KM,0.023,0.023,0.34099999999999997,0.318,1380.0800447677518,-4.636199362195641e-06,-225858.17799741833,1295.6707729854609
KM,0.024,0.024,0.3413333333333333,0.3173333333333333,1380.0808468612024,-4.527614673690814e-06,-224550.57094271132,1296.1761349949406
