asr_residual_pred,cv_error_300k,error,f_error_300k,freq_mae,freq_rmse,model,mp_id,n_displacements,n_imaginary_pred,n_imaginary_ref,omega_max_error,omega_max_pred,omega_max_ref,s_error_300k,softening_pct
2.1832393197716959e-07,446.5751008742534,,72.20859906299822,10.024997098767658,14.958428125098212,orb,mp-760411,192,2991,1323,-40.99227289109595,3.580202455883698,44.57247534697965,616.6954936803418,-91.96768313176867
1.8071466807615006e-07,114.33407830697845,,30.030731108798978,4.932427461087224,5.472960093852046,orb,mp-1265,48,8,0,-8.467904604711165,9.824105996203542,18.292010600914708,90.07282664341733,-46.29291328033519
1.7338555911024965e-07,133.52034160264822,,-0.5804075979255904,4.524889041500743,5.454920180876408,orb,mp-2172,48,3,0,-7.990909086004075,3.7078532222122504,11.698762308216326,168.93882661873596,-68.30559400622974
1.273127203585767e-07,200.68585214076774,,6.889005947845514,3.850707469332224,4.195563895788072,orb,mp-2741,72,3,0,-6.693261995183561,6.981980810108708,13.67524280529227,226.84646566188223,-48.944374081557754
1.3579830723439338e-07,192.97071012726948,,22.713436225992176,4.74964535094798,6.055271812425211,orb,mp-4651,120,9436,43,-15.86122626062055,8.854068137013941,24.71529439763449,217.0278652111855,-64.17575289792475
2.5772360452648763e-07,347.3638712547714,,181.16753920213228,9.655609428497481,12.74016804102227,orb,mp-554543,288,37940,2889,-26.288485697399388,11.929307453809779,38.217793151209165,342.2487220132192,-68.78598560986678
3.219720431200044e-07,-2.5409107432948304,,-0.4889422012599596,0.4918496065900328,0.6548044651908561,orb,mp-557465,144,5210,484,-0.6693986318376304,37.1635909034667,37.83298953530433,-10.172018568360954,-1.7693516691642162
2.924066575774114e-07,242.4008949469019,,93.29930641263827,10.923601908020828,16.112875724791234,orb,mp-561412,180,5407,673,-37.05989597560079,8.552956292562834,45.61285226816362,289.88617300538317,-81.2488018896978
2.5626490408649386e-07,0.9716762763466704,,-0.8588680731145111,1.644462181198915,2.4966253731382917,orb,mp-661,24,2,0,-0.41143675704151406,25.176111857881533,25.587548614923048,1.0905662605605002,-1.6079569138622285
2.49457959438755e-07,3.0567780714472406,,-2.6730045460879666,0.6250025932682873,0.8494164344114566,orb,mp-761842,72,798,334,-0.018963817702129404,23.102830270047964,23.121794087750093,3.580285819855874,-0.08201706852919523
