smearing_degauss_Ry,fit_scope,signed_distance,DFPT_fit_frequency_cm-1
0.0019000869,K_to_Gamma,-0.014249999999999999,1293.5438795510263
0.0019000869,K_to_Gamma,-0.014325,1293.5862770772565
0.0019000869,K_to_Gamma,-0.0144,1293.6287105920903
0.0019000869,K_to_Gamma,-0.014474999999999998,1293.6711793513734
0.0019000869,K_to_Gamma,-0.014549999999999999,1293.713682621449
0.0019000869,K_to_Gamma,-0.014624999999999999,1293.7562196789943
0.0019000869,K_to_Gamma,-0.0147,1293.7987898108574
0.0019000869,K_to_Gamma,-0.014774999999999998,1293.841392313899
0.0019000869,K_to_Gamma,-0.014849999999999999,1293.8840264948346
0.0019000869,K_to_Gamma,-0.014924999999999999,1293.9266916700813
0.0019000869,K_to_Gamma,-0.015,1293.969387165604
0.0019000869,K_to_Gamma,-0.015074999999999998,1294.012112316768
0.0019000869,K_to_Gamma,-0.015149999999999999,1294.0548664681903
0.0019000869,K_to_Gamma,-0.015224999999999999,1294.097648973596
0.0019000869,K_to_Gamma,-0.0153,1294.1404591956752
0.0019000869,K_to_Gamma,-0.015374999999999998,1294.1832965059423
0.0019000869,K_to_Gamma,-0.015449999999999998,1294.2261602845997
0.0019000869,K_to_Gamma,-0.015524999999999999,1294.2690499204007
0.0019000869,K_to_Gamma,-0.0156,1294.3119648105167
0.0019000869,K_to_Gamma,-0.015674999999999998,1294.354904360406
0.0019000869,K_to_Gamma,-0.01575,1294.397867983684
0.0019000869,K_to_Gamma,-0.015825,1294.4408551019965
0.0019000869,K_to_Gamma,-0.015899999999999997,1294.4838651448956
0.0019000869,K_to_Gamma,-0.015975,1294.5268975497156
0.0019000869,K_to_Gamma,-0.01605,1294.5699517614516
0.0019000869,K_to_Gamma,-0.016124999999999997,1294.6130272326427
0.0019000869,K_to_Gamma,-0.0162,1294.6561234232524
0.0019000869,K_to_Gamma,-0.016274999999999998,1294.6992398005555
0.0019000869,K_to_Gamma,-0.01635,1294.7423758390241
0.0019000869,K_to_Gamma,-0.016425,1294.7855310202167
0.0019000869,K_to_Gamma,-0.016499999999999997,1294.8287048326674
0.0019000869,K_to_Gamma,-0.016575,1294.87189677178
0.0019000869,K_to_Gamma,-0.016649999999999998,1294.915106339721
0.0019000869,K_to_Gamma,-0.016724999999999997,1294.9583330453158
0.0019000869,K_to_Gamma,-0.0168,1295.001576403946
0.0019000869,K_to_Gamma,-0.016874999999999998,1295.0448359374489
0.0019000869,K_to_Gamma,-0.01695,1295.0881111740177
0.0019000869,K_to_Gamma,-0.017025,1295.131401648106
0.0019000869,K_to_Gamma,-0.017099999999999997,1295.1747069003293
0.0019000869,K_to_Gamma,-0.017175,1295.218026477372
0.0019000869,K_to_Gamma,-0.017249999999999998,1295.2613599318959
0.0019000869,K_to_Gamma,-0.017325,1295.3047068224466
0.0019000869,K_to_Gamma,-0.0174,1295.3480667133656
0.0019000869,K_to_Gamma,-0.017474999999999997,1295.391439174702
0.0019000869,K_to_Gamma,-0.01755,1295.4348237821246
0.0019000869,K_to_Gamma,-0.017625,1295.4782201168375
0.0019000869,K_to_Gamma,-0.017699999999999997,1295.5216277654972
0.0019000869,K_to_Gamma,-0.017775,1295.5650463201277
0.0019000869,K_to_Gamma,-0.017849999999999998,1295.6084753780412
0.0019000869,K_to_Gamma,-0.017925,1295.6519145417583
0.0019000869,K_to_Gamma,-0.018,1295.6953634189283
0.0019000869,K_to_Gamma,-0.018074999999999997,1295.7388216222535
0.0019000869,K_to_Gamma,-0.01815,1295.7822887694122
