key,trajectory_seed,snapshot_index,displacement_RMS_A,displacement_max_A,min_pair_distance_A,reference_force_RMS_meV_A,short_force_RMS_meV_A,long_force_RMS_meV_A,total_force_RMS_meV_A,short_only_error_RMSE_meV_A,total_error_RMSE_meV_A,total_error_max_abs_meV_A,oracle_alpha,long_vs_required_residual_cosine,oracle_scaled_error_RMSE_meV_A,max_error_atom,max_error_axis,operator_force_replay_max_abs_eV_A,reference_net_force_meV_A,prediction_net_force_meV_A
seed1:snapshot093,1,93,0.08634453346298973,0.3763349111716806,1.361062665972596,1352.0033116058873,1328.571686005576,33.03388154272382,1343.7702725121494,69.54687175286008,51.673034992417854,260.7415105844746,1.492756005570531,0.7090401597851677,49.042235540862094,65,y,0.0,0.0007816648909108752,8.910879894328756e-12
seed1:snapshot099,1,99,0.07740644599367136,0.3453154045481338,1.3712027219427323,1226.6032925677207,1217.444403673276,34.191405725820154,1225.6582769110498,43.00233925144419,20.348172897721536,73.76300337715855,1.1138104908861235,0.885597087472012,19.97262146208103,66,x,0.0,0.0008608716507399642,4.951395542680039e-12
seed1:snapshot105,1,105,0.07272004916768562,0.2857519255690321,1.354998350874911,1233.549749780947,1189.543199204469,31.425941907362787,1206.8746529639645,62.68904241068293,43.4962294915009,212.8399350767518,1.5318018712253128,0.7678904441282866,40.15742162396169,4,y,0.0,0.0014059160708654625,4.5846296514619955e-12
seed1:snapshot111,1,111,0.08028826300730929,0.3047511511264997,1.3639526691851989,1153.6098279285827,1131.3229456536628,23.95288026981202,1145.4845123216974,33.459269261007854,20.952350198092613,59.40761753091061,1.0930570984803336,0.7824996297357544,20.83344912140581,34,y,0.0,0.001159913787578471,4.802035444489893e-12
seed1:snapshot117,1,117,0.0697809626146594,0.32104080480279196,1.33508808629039,1343.606907877451,1295.9815972690735,30.185710679972427,1312.427612171658,68.51782627719625,51.03833083154056,257.3525275052413,1.6467481110895053,0.7254792620396153,47.15698466084601,15,y,0.0,0.0008159656899608864,9.572457523661546e-12
seed2:snapshot003,2,3,0.05712856708026174,0.21972787204087962,1.3511765164805243,1347.4807803906936,1298.654796685467,29.62136472533556,1314.7714877028097,70.7568105646604,54.781063086767155,233.32777757371082,1.6428673681894614,0.6877638084608279,51.36481211537731,2,x,0.0,0.0008221921932472963,1.2008898127460164e-12
seed2:snapshot009,2,9,0.058914413965188185,0.2764141706727492,1.3512974781335112,1444.5342623428894,1383.8689211439778,28.34982686727009,1404.0944614506598,87.25083237446981,71.44414100887083,226.48159752467654,2.060534328584752,0.6695155780145566,64.80974507769818,12,x,0.0,0.0005921148536977749,5.207703438645801e-12
seed2:snapshot015,2,15,0.07814609881255512,0.2825359551859153,1.3550309008137424,1325.3086201427075,1308.6590391208808,26.602497342041975,1323.8015552775307,44.82654401322399,35.43319874222898,204.73877635330018,1.032651601087389,0.6128313497707647,35.422550481260934,65,y,0.0,0.0012823026164234638,1.424940003764727e-11
seed2:snapshot021,2,21,0.09830066757880795,0.35517399107670294,1.358728947096554,1329.490107492891,1307.44571084243,25.970349517903223,1321.2062148482291,47.818181447342205,39.06636084385809,173.20940281498065,1.0637094815068653,0.5777071855118892,39.03130780609314,11,x,0.0,0.0013946684183516376,1.9389211565826712e-12
seed2:snapshot027,2,27,0.10691555665691932,0.37939418587272516,1.3325648712627605,1276.6999952519707,1256.448749327116,24.201946583900586,1268.4904616379679,41.759416556748576,33.401856426548704,214.11867223876425,1.03622004540095,0.6005481938158924,33.390351793395574,31,x,0.0,0.0006410928133340133,4.193388935483235e-12
seed2:snapshot033,2,33,0.11546153027698905,0.4668668954913466,1.337683748049255,1396.1056241228414,1360.5216948238244,27.755206296597493,1377.9136260015277,60.143131941866486,46.01629423565212,373.45770618710094,1.4733848965140703,0.6799463286442523,44.1006662224246,46,y,0.0,0.00022649503060199414,7.662763518305421e-12
seed2:snapshot039,2,39,0.07717136635517832,0.2849352662325438,1.3491362150142698,1373.0528780056954,1336.3210233991924,36.63926462560229,1351.2417497343918,72.11758914841859,50.584920222961664,317.07473937729145,1.4840741297325513,0.7539822865040091,47.373665642688145,44,x,0.0,0.0005958187631099544,8.603333053107397e-12
seed2:snapshot045,2,45,0.0732363107153051,0.25185194281457224,1.330930655030963,1387.678283740567,1344.7593780338775,24.309283181236825,1357.1642318786048,64.69064739654787,52.60014356689716,272.0472273500683,1.6998694965367738,0.6387725370741001,49.77270184669698,18,x,0.0,0.0014779377521089345,3.2824140392320506e-12
seed2:snapshot051,2,51,0.08201592300482975,0.32100683107703637,1.327530449680653,1501.6577377339793,1474.5901479022816,49.13806483157226,1482.4093142838894,96.86597934738377,73.18496215473384,404.53975619346136,1.3338987066629395,0.6766586325596698,71.32211833772996,62,y,0.0,0.0014360362093023193,5.7742271515097004e-12
seed2:snapshot057,2,57,0.07915998726279695,0.29200086929187113,1.3539279022037354,1379.3564876045461,1350.0098846266912,25.14042907847766,1367.247644812027,53.01317095843108,39.882084929451224,182.25565658201282,1.4649811170889449,0.6947378021277599,38.13041692055394,67,y,0.0,0.0004330127006226958,5.880580558876772e-12
seed2:snapshot063,2,63,0.07211620529404053,0.32309315709962005,1.325016091445106,1421.5705674804012,1379.3192729338168,34.997212407683215,1389.8521556084145,78.5784289771333,66.45089883236496,430.3567641651429,1.2180113252758524,0.5424771355259266,66.01142537973311,1,x,0.0,0.0007333484895828817,3.767838557988072e-12
seed2:snapshot069,2,69,0.07295181483621155,0.2655518621916342,1.358681180616084,1291.8206653100938,1273.8717520326127,29.940984637954866,1284.4411277974318,45.59967890670176,30.450966558221563,122.53922237249881,1.142564119277476,0.7502135006950147,30.15030987919766,50,y,0.0,0.0012200819649099723,1.280672456422863e-12
seed2:snapshot075,2,75,0.0732429265868274,0.25317437575828594,1.350710136834932,1387.4478572419887,1345.5327112120592,39.335061324593894,1358.323578107746,75.30444528848096,55.185843871649666,255.1921214291082,1.348371989909934,0.7043182471936359,53.45744806001826,61,x,0.0,0.0010504760806886873,2.151773263915451e-12
seed2:snapshot081,2,81,0.07961850835933573,0.28877253827979027,1.3470475234493828,1419.9299805767716,1393.3111187456402,40.68308874666507,1410.2580151455445,58.30202653821377,39.286507692104735,199.1287468653482,1.0605949007139528,0.7400819325160997,39.209087417721086,31,x,0.0,0.0007703246111042907,4.081746465298011e-12
seed2:snapshot087,2,87,0.06645436465215461,0.26803491286648373,1.3631574072868884,1295.680046468697,1260.3719941233423,25.27445855287692,1274.0749911294215,55.750479035967096,41.41398397410123,202.48863758319402,1.5903269012726229,0.7209740982818957,38.63296410388237,18,x,0.0,0.001096403210985006,8.671119018262734e-13
seed2:snapshot093,2,93,0.07368461926424807,0.30308932968069546,1.3581456169633122,1254.1006015129956,1254.171269268822,26.36699792323988,1271.3179463401048,60.90293809867846,62.298607141955195,557.2499891272452,0.3763348766485778,0.1629284435335166,60.08914622641074,43,y,0.0,0.0004138840414371974,1.1957467920563632e-12
seed2:snapshot099,2,99,0.07936666583708846,0.28322622784236623,1.363971583539325,1219.9489068878706,1197.9617560526522,23.85400819536203,1214.276707824097,38.04178240063682,23.546344618097777,62.519360475643104,1.2844686800907383,0.8054229977683016,22.54738062455873,58,y,0.0,0.0015840770195784312,2.3314683517128287e-12
seed2:snapshot105,2,105,0.10962078183160148,0.4235942108214218,1.3615537704884586,1198.9477879745698,1185.2660445205388,24.940150127037956,1198.0574098950285,32.39768014003984,20.363133009628363,84.72432566714106,1.0104028725303456,0.7778211038806254,20.36148010531297,16,x,0.0,0.0016412799876878595,3.0170706470269854e-12
seed2:snapshot111,2,111,0.10406941084206964,0.4496545200451637,1.346511248330504,1335.7313173586747,1306.80510030772,21.65621003372078,1321.7278451012169,57.04817342170972,47.11089536337153,235.467047912981,1.60349310875426,0.6087063172752045,45.261771262395925,34,x,0.0,0.0008711486666300068,2.486410087150353e-12
seed2:snapshot117,2,117,0.09765397543236913,0.3642034661199984,1.3567584093112928,1421.6997970640566,1388.7774291090477,22.96461406242706,1404.8310452427638,50.72451046600019,37.94942487439745,247.35206742830053,1.57401786000629,0.7126084086437923,35.58638959308087,9,y,0.0,0.0024242524633748186,2.237726045655905e-12
