direction,distance_from_K,q_invA,electron_eV,hole_eV,electron_hole_mean_eV
KM,0.0,0.0,4.040024351281701e-06,4.040024351503746e-06,4.040024351392724e-06
KM,0.0005,0.0008513801193671828,0.004639629262442435,0.004639056068072245,0.00463934266525734
KM,0.001,0.0017027602387345072,0.009275705653155608,0.009273268055135064,0.009274486854145336
KM,0.0015,0.0025541403581018324,0.013908319082131637,0.013902732260213435,0.013905525671172536
KM,0.002,0.003405520477469015,0.018537459496861697,0.01852744511582527,0.018532452306343483
KM,0.0025,0.00425690059683634,0.023163117159886726,0.023147403466583505,0.023155260313235115
KM,0.003,0.005108280716203665,0.027785282355440755,0.027762604276809988,0.02777394331612537
KM,0.0035,0.005959660835570847,0.032403945347142304,0.03237304458924717,0.032388494968194737
KM,0.004,0.006811040954938171,0.03701909636708356,0.0369787215150672,0.03699890894107538
KM,0.0045000000000000005,0.007662421074305496,0.04163072561184933,0.04157963223089278,0.041605178921371055
KM,0.005,0.008513801193672678,0.046238823240679405,0.046175773977882306,0.046207298609280856
KM,0.0055,0.009365181313040004,0.05084337937439831,0.05076714406154892,0.050805261717973615
KM,0.006,0.01021656143240733,0.0554443840946337,0.05535373985190062,0.05539906197326716
KM,0.006500000000000001,0.011067941551774511,0.06004182744320796,0.0599355587837076,0.05998869311345778
KM,0.007,0.011919321671141837,0.06463569942162661,0.06451259835684042,0.06457414888923352
KM,0.0075,0.01277070179050916,0.06922598999057272,0.06908485613661064,0.06915542306359168
KM,0.008,0.013622081909876342,0.07381268906946725,0.0736523297541527,0.07373250941180998
KM,0.0085,0.014473462029243668,0.07839578653602342,0.0782150169067759,0.07830540172139966
KM,0.009000000000000001,0.015324842148610992,0.08297527222584367,0.08277291535831965,0.08287409379208166
KM,0.0095,0.01617622226797818,0.08755113593199093,0.08732602293952008,0.0874385794357555
KM,0.01,0.0170276023873455,0.09212336740461224,0.09187433754833996,0.0919988524764761
KM,0.0105,0.017878982506712823,0.09669195635054306,0.09641785715029139,0.09655490675041722
KM,0.011,0.018730362626080008,0.10125689243292668,0.10095657977877082,0.10110673610584875
KM,0.0115,0.01958174274544733,0.10581816527086985,0.10549050353534017,0.10565433440310501
KM,0.012,0.02043312286481466,0.11037576443906039,0.11001962659003284,0.11019769551454661
KM,0.0125,0.02128450298418184,0.11492967946743216,0.11454394718162364,0.1147368133245279
KM,0.013000000000000001,0.022135883103549164,0.11947989984083307,0.11906346361789111,0.11927168172936209
KM,0.0135,0.022987263222916488,0.12402641499868272,0.12357817427587081,0.12380229463727677
KM,0.014,0.02383864334228367,0.12856921433466928,0.12808807760208119,0.12832864596837523
KM,0.0145,0.024690023461650997,0.13310828719641843,0.13259317211275912,0.13285072965458877
KM,0.015,0.02554140358101832,0.13764362288522447,0.1370934563940489,0.1373685396396367
KM,0.0155,0.026392783700385503,0.1421752106557368,0.14158892910219523,0.141882069878966
KM,0.016,0.027244163819752826,0.14670303971569698,0.1460795889637314,0.1463913143397142
KM,0.0165,0.02809554393912015,0.15122709922566635,0.15056543477563045,0.1508962670006484
