smearing_degauss_Ry,lattice_temperature_K,direction,signed_q_2pi_over_a,q1,q2,MLIP_plus_full_EPC_LR_cm-1,DFT_TDEP_wave3_raw_6x6_cm-1,DFT_TDEP_wave1_plus_full_EPC_LR_cm-1,DFT_TDEP_wave2_plus_full_EPC_LR_cm-1,DFT_TDEP_wave3_plus_full_EPC_LR_cm-1
0.0019000869,300,KG,-0.006,0.3303333333333333,0.3303333333333333,1283.8113875871138,1280.755316763108,1286.3974432545535,1298.0271092382195,1282.3328700537102
0.0019000869,300,KG,-0.005666666666666667,0.3305,0.3305,1283.590224496912,1280.7461159117943,1286.1814087294804,1297.815034699107,1282.1169011913807
0.0019000869,300,KG,-0.005333333333333333,0.33066666666666666,0.33066666666666666,1283.3978382553155,1280.7374385027308,1285.993827728084,1297.6310454481813,1281.9294349686345
0.0019000869,300,KG,-0.004999999999999999,0.33083333333333337,0.33083333333333337,1283.1829372474322,1280.7292848509728,1285.7835117354325,1297.4244116729187,1281.719120350763
0.0019000869,300,KG,-0.004666666666666666,0.331,0.331,1282.998112850708,1280.721655265186,1285.6029455433254,1297.247147110107,1281.5386083153003
0.0019000869,300,KG,-0.004333333333333333,0.33116666666666666,0.33116666666666666,1282.8236776430856,1280.7145500476108,1285.4324811090753,1297.0797795996868,1281.3681883010754
0.0019000869,300,KG,-0.004,0.3313333333333333,0.3313333333333333,1282.6386049721932,1280.707969494022,1285.251134186959,1296.9015130853234,1281.186809273105
0.0019000869,300,KG,-0.003666666666666666,0.3315,0.3315,1282.4918209317761,1280.701913893696,1285.1077311574618,1296.760735074884,1281.0434522764585
0.0019000869,300,KG,-0.003333333333333333,0.33166666666666667,0.33166666666666667,1282.3363151429305,1280.6963835293707,1284.9553569488444,1296.6109516751153,1280.8910531887627
0.0019000869,300,KG,-0.003,0.33183333333333337,0.33183333333333337,1282.1938730072466,1280.6913786772118,1284.8157524068113,1296.4737081166868,1280.7514216086945
0.0019000869,300,KG,-0.0026666666666666666,0.332,0.332,1282.0803013931647,1280.686899606774,1284.704691869839,1296.3646365560758,1280.640381723813
0.0019000869,300,KG,-0.002333333333333333,0.33216666666666667,0.33216666666666667,1281.9552375760227,1280.6829465809662,1284.581894848195,1296.2438185021817,1280.517524995735
0.0019000869,300,KG,-0.002,0.3323333333333333,0.3323333333333333,1281.857932945525,1280.6795198560126,1284.4865323711413,1296.1500723846964,1280.4221465590854
0.0019000869,300,KG,-0.0016666666666666666,0.3325,0.3325,1281.7727442149157,1280.676619681419,1284.402992980798,1296.0679269155514,1280.3385851974056
0.0019000869,300,KG,-0.0013333333333333333,0.33266666666666667,0.33266666666666667,1281.6896965861135,1280.6742462999339,1284.3213222229806,1295.9875170142304,1280.2568546424775
0.0019000869,300,KG,-0.001,0.33283333333333337,0.33283333333333337,1281.6320553148132,1280.6723999475125,1284.2647376266068,1295.9318509993486,1280.2002459203254
0.0019000869,300,KG,-0.0006666666666666666,0.333,0.333,1281.5788464197865,1280.6710808532835,1284.2123081570344,1295.8801860445058,1280.1477613366872
0.0019000869,300,KG,-0.0003333333333333333,0.33316666666666667,0.33316666666666667,1281.5393885132864,1280.6702892395078,1284.1733333298046,1295.8417377519365,1280.108729723057
0.0019000869,300,K,0.0,0.3333333333333333,0.3333333333333333,1281.5222106840686,1280.6700253215465,1284.1563247710594,1295.8249409161176,1280.0916895260063
0.0019000869,300,KM,0.0003333333333333333,0.33349999999999996,0.333,1281.5415888261841,1280.6702893078225,1284.175529162477,1295.8439137634396,1280.1109324589368
0.0019000869,300,KM,0.0006666666666666666,0.3336666666666666,0.33266666666666667,1281.579627199717,1280.6710813997847,1284.213087601405,1295.8809580802535,1280.1485427039147
0.0019000869,300,KM,0.001,0.33383333333333337,0.3323333333333333,1281.6298791995296,1280.6724017918739,1284.2625668704877,1295.9296984679218,1280.198066409611
0.0019000869,300,KM,0.0013333333333333333,0.334,0.332,1281.6964404675866,1280.674250671484,1284.3280544167883,1295.9941854816968,1280.2636037940435
0.0019000869,300,KM,0.0016666666666666666,0.33416666666666667,0.33166666666666667,1281.769262058131,1280.6766282189296,1284.399522117877,1296.0644811882678,1280.3350946936632
0.0019000869,300,KM,0.002,0.3343333333333333,0.3313333333333333,1281.8602039483783,1280.6795346074066,1284.4888059211112,1296.152314930454,1280.4244124270067
0.0019000869,300,KM,0.002333333333333333,0.3345,0.331,1281.9640228510627,1280.6829700029598,1284.590673584684,1296.2525015148315,1280.5263079387742
0.0019000869,300,KM,0.0026666666666666666,0.33466666666666667,0.33066666666666666,1282.0724160175967,1280.6869345644475,1284.6968396566917,1296.3568299756498,1280.6324692800306
0.0019000869,300,KM,0.003,0.3348333333333333,0.3303333333333333,1282.205105445553,1280.691428443503,1284.8269862042823,1296.4848053173014,1280.7626407843275
0.0019000869,300,KM,0.003333333333333333,0.33499999999999996,0.33,1282.3414203165717,1280.6964517845026,1284.960485020947,1296.615984843572,1280.8961285806752
0.0019000869,300,KM,0.003666666666666666,0.33516666666666667,0.32966666666666666,1282.4892463547637,1280.70200472453,1285.1052061440514,1296.758167797144,1281.0408274874626
0.0019000869,300,KM,0.004,0.3353333333333333,0.3293333333333333,1282.6588050522992,1280.7080873933398,1285.2713507425603,1296.9214637140046,1281.2069708404097
0.0019000869,300,KM,0.004333333333333333,0.33549999999999996,0.329,1282.825519718667,1280.714699913325,1285.434392587416,1297.0815667203285,1281.3699544096094
0.0019000869,300,KM,0.004666666666666666,0.3356666666666666,0.32866666666666666,1283.0133683087342,1280.72184239948,1285.6182614287552,1297.2621916548912,1281.5537836641254
0.0019000869,300,KM,0.004999999999999999,0.3358333333333334,0.3283333333333333,1283.2105967400546,1280.7295149593688,1285.8112276072613,1297.45171424676,1281.746691546228
0.0019000869,300,KM,0.005333333333333333,0.336,0.328,1283.4062333988854,1280.7377176930884,1286.0023422167415,1297.63928380684,1281.9376942478802
0.0019000869,300,KM,0.005666666666666667,0.33616666666666667,0.32766666666666666,1283.6264394573157,1280.746450693236,1286.2177141764655,1297.8507751275645,1282.1529832897143
