signed_distance,MLIP_full_EPC_LR_original_cm-1,MLIP_full_EPC_LR_reanchored_cm-1,DFPT_N_infinity_local_cusp_cm-1,K_aligned_model_minus_DFPT_cm-1
-0.001065,1282.8540172694425,1284.8758502957594,1284.9310128035538,-0.05516250779442089
-0.00106,1282.850728275607,1284.872561301924,1284.9276033773697,-0.05504207544572637
-0.001055,1282.8474403452176,1284.8692733715345,1284.9241939511853,-0.05492057965079766
-0.00105,1282.8441535067814,1284.8659865330983,1284.9207845250012,-0.05479799190288759
-0.001045,1282.8408677888053,1284.8627008151223,1284.917375098817,-0.05467428369479421
-0.0010399999999999997,1282.8375832197974,1284.8594162461143,1284.9139656726327,-0.05454942651840611
-0.001035,1282.8342998282633,1284.8561328545802,1284.9105562464486,-0.05442339186834033
-0.00103,1282.831017642711,1284.852850669028,1284.9071468202644,-0.05429615123648546
-0.0010249999999999999,1282.8277366916473,1284.8495697179642,1284.90373739408,-0.054167676115866925
-0.00102,1282.8244570035795,1284.8462900298964,1284.900327967896,-0.05403793799951018
-0.0010149999999999998,1282.8211786070144,1284.8430116333313,1284.8969185417118,-0.053906908380440655
-0.00101,1282.8179015304597,1284.8397345567766,1284.8935091155274,-0.053774558750774304
-0.0010049999999999998,1282.8146258024215,1284.8364588287384,1284.8900996893433,-0.05364086060490081
-0.001,1282.8113514514077,1284.8331844777247,1284.8866902631592,-0.05350578543448137
-0.0009949999999999998,1282.8080771254654,1284.8299101517823,1284.8832808369748,-0.05337068519247623
-0.00099,1282.8048014898977,1284.8266345162147,1284.8798714107907,-0.05323689457600267
-0.0009849999999999998,1282.801524599097,1284.823357625414,1284.8764619846065,-0.05310435919250267
-0.00098,1282.7982465074556,1284.8200795337725,1284.8730525584222,-0.052973024649645595
-0.0009749999999999997,1282.794967269365,1284.816800295682,1284.869643132238,-0.0528428365560103
-0.0009699999999999999,1282.7916869392175,1284.8135199655344,1284.866233706054,-0.05271374051949351
-0.0009649999999999997,1282.788405571405,1284.810238597722,1284.8628242798695,-0.05258568214753723
-0.0009599999999999999,1282.7851232203195,1284.8069562466364,1284.8594148536854,-0.05245860704894767
-0.0009549999999999997,1282.781839940353,1284.8036729666699,1284.8560054275013,-0.0523324608313942
-0.0009499999999999999,1282.7785557858974,1284.8003888122144,1284.852596001317,-0.05220718910254618
-0.0009450000000000001,1282.7752708113449,1284.7971038376618,1284.8491865751328,-0.052082737470982465
-0.0009399999999999999,1282.7719850710873,1284.7938180974043,1284.8457771489486,-0.051959051544372414
-0.0009350000000000001,1282.7686986195165,1284.7905316458334,1284.8423677227643,-0.051836076930840136
-0.0009299999999999998,1282.7654115110247,1284.7872445373416,1284.8389582965801,-0.05171375923850974
-0.000925,1282.762123800004,1284.783956826321,1284.835548870396,-0.05159204407505058
-0.0009199999999999998,1282.7588355408463,1284.7806685671633,1284.8321394442116,-0.0514708770483594
-0.000915,1282.7555467879433,1284.7773798142603,1284.8287300180275,-0.05135020376724242
-0.0009099999999999998,1282.7522575956875,1284.7740906220045,1284.8253205918434,-0.05122996983891426
-0.000905,1282.7489680184708,1284.7708010447877,1284.821911165659,-0.05111012087127165
-0.0008999999999999998,1282.7456781106848,1284.7675111370017,1284.8185017394749,-0.050990602473120816
-0.000895,1282.742387926722,1284.7642209530388,1284.8150923132907,-0.05087136025190375
-0.0008899999999999997,1282.739097520974,1284.7609305472909,1284.8116828871064,-0.05075233981551719
-0.0008849999999999999,1282.735806947833,1284.75763997415,1284.8082734609222,-0.05063348677231261
-0.0008799999999999997,1282.7325162616908,1284.7543492880077,1284.804864034738,-0.05051474673041412
-0.0008749999999999999,1282.7292255169396,1284.7510585432565,1284.8014546085537,-0.050396065297263704
-0.0008699999999999997,1282.7259347679712,1284.7477677942882,1284.7980451823696,-0.05027738808144022
-0.0008649999999999999,1282.722644069178,1284.7444770954949,1284.7946357561855,-0.05015866069061303
-0.0008600000000000001,1282.7193534749517,1284.7411865012687,1284.791226330001,-0.0500398287324515
-0.0008549999999999999,1282.716063039684,1284.737896066001,1284.787816903817,-0.049920837815989216
-0.0008500000000000001,1282.7127728177677,1284.7346058440846,1284.7844074776328,-0.04980163354821343
-0.0008449999999999998,1282.709482863594,1284.731315889911,1284.7809980514485,-0.04968216153747562
-0.00084,1282.7061932315553,1284.7280262578722,1284.7775886252643,-0.04956236739212727
-0.0008349999999999998,1282.7029039760434,1284.7247370023604,1284.7741791990802,-0.04944219671983774
-0.00083,1282.6996151514506,1284.7214481777676,1284.7707697728958,-0.049321595128276385
-0.0008249999999999998,1282.6963268121685,1284.7181598384855,1284.7673603467117,-0.04920050822624944
-0.00082,1282.6930390125897,1284.7148720389066,1284.7639509205276,-0.049078881620971515
-0.0008149999999999998,1282.6897518071057,1284.7115848334226,1284.7605414943432,-0.04895666092056672
-0.00081,1282.6864652501083,1284.7082982764252,1284.757132068159,-0.04883379173384128
-0.0008049999999999997,1282.68317939599,1284.705012422307,1284.753722641975,-0.04871021966800981
-0.0007999999999999999,1282.6798942991425,1284.7017273254594,1284.7503132157906,-0.048585890331196424
